Pos,Team,P,W,D,L,F,A,GD,Pts
1,Bayern Munich,34,25,7,2,89,22,+67,82
2,RB Leipzig,34,20,7,7,66,39,+27,67
3,Borussia Dortmund,34,18,10,6,72,40,+32,64
4,Hoffenheim,34,16,14,4,64,37,+27,62
5,FC Koln,34,12,13,9,51,42,+9,49
6,Hertha Berlin,34,15,4,15,43,47,-4,49
7,Freiburg,34,14,6,14,42,60,-18,48
8,Werder Bremen,34,13,6,15,61,64,-3,45
9,Borussia Monchengladbach,34,12,9,13,45,49,-4,45
10,Schalke,34,11,10,13,45,40,+5,43
11,Eintracht Frankfurt,34,11,9,14,36,43,-7,42
12,Leverkusen,34,11,8,15,53,55,-2,41
13,Augsburg,34,9,11,14,35,51,-16,38
14,Hamburger,34,10,8,16,33,61,-28,38
15,Mainz,34,10,7,17,44,55,-11,37
16,Wolfsburg,34,10,7,17,34,52,-18,37
17,FC Ingolstadt 04,34,8,8,18,36,57,-21,32
18,SV Darmstadt 98,34,7,4,23,28,63,-35,25
