Pos,Team,P,W,D,L,F,A,GD,Pts
1,Bordeaux,38,24,8,6,64,34,+30,80
2,Marseille,38,22,11,5,67,35,+32,77
3,Olympique Lyonnais,38,20,11,7,52,29,+23,71
4,Toulouse,38,16,16,6,45,27,+18,64
5,Lille,38,17,13,8,51,39,+12,64
6,Paris Saint Germain,38,19,7,12,49,38,+11,64
7,Rennes,38,15,16,7,42,34,+8,61
8,Auxerre,38,16,7,15,35,35,+0,55
9,Nice,38,13,11,14,40,41,-1,50
10,Lorient,38,10,15,13,47,47,+0,45
11,Monaco,38,11,12,15,41,45,-4,45
12,Valenciennes,38,10,14,14,35,42,-7,44
13,Grenoble,38,10,14,14,24,37,-13,44
14,Sochaux,38,10,12,16,40,48,-8,42
15,Nancy,38,10,12,16,38,47,-9,42
16,Le Mans,38,10,10,18,43,54,-11,40
17,St Etienne,38,11,7,20,40,56,-16,40
18,Caen,38,8,13,17,42,49,-7,37
19,Nantes,38,9,10,19,33,54,-21,37
20,Le Havre,38,7,5,26,30,67,-37,26
