Pos,Team,P,W,D,L,F,A,GD,Pts
1,Newcastle,46,29,7,10,85,40,+45,94
2,Brighton,46,28,9,9,74,40,+34,93
3,Reading,46,26,7,13,68,64,+4,85
4,Sheff Wed,46,24,9,13,60,45,+15,81
5,Huddersfield,46,25,6,15,56,58,-2,81
6,Fulham,46,22,14,10,85,57,+28,80
7,Leeds,46,22,9,15,61,47,+14,75
8,Norwich,46,20,10,16,85,69,+16,70
9,Derby,46,18,13,15,54,50,+4,67
10,Brentford,46,18,10,18,75,65,+10,64
11,Preston,46,16,14,16,64,63,+1,62
12,Cardiff,46,17,11,18,60,61,-1,62
13,Aston Villa,46,16,14,16,47,48,-1,62
14,Barnsley,46,15,13,18,64,67,-3,58
15,Wolverhampton,46,16,10,20,54,58,-4,58
16,Ipswich,46,13,16,17,48,58,-10,55
17,Bristol City,46,15,9,22,60,66,-6,54
18,QPR,46,15,8,23,52,66,-14,53
19,Birmingham,46,13,14,19,45,64,-19,53
20,Burton Albion,46,13,13,20,49,63,-14,52
21,Nott'm Forest,46,14,9,23,62,72,-10,51
22,Blackburn,46,12,15,19,53,65,-12,51
23,Wigan,46,10,12,24,40,57,-17,42
24,Rotherham,46,5,8,33,40,98,-58,23
