Pos,Team,P,W,D,L,F,A,GD,Pts
1,Galatasaray (C),34,24,3,7,75,33,42,75
2,Fenerbahçe,34,21,9,4,78,36,42,72
3,İstanbul Başakşehir,34,22,6,6,62,34,28,72
4,Beşiktaş,34,21,8,5,69,30,39,71
5,Trabzonspor,34,15,10,9,63,51,12,55
6,Göztepe,34,13,10,11,49,50,−1,49
7,Sivasspor,34,14,7,13,45,53,−8,49
8,Kasımpaşa,34,13,7,14,57,58,−1,46
9,Kayserispor,34,12,8,14,44,55,−11,44
10,Yeni Malatyaspor,34,11,10,13,38,45,−7,43
11,Akhisarspor,34,11,9,14,44,53,−9,42
12,Alanyaspor,34,11,7,16,55,59,−4,40
13,Bursaspor,34,11,6,17,43,48,−5,39
14,Antalyaspor,34,10,8,16,40,59,−19,38
15,Konyaspor,34,9,9,16,38,42,−4,36
