Pos,Team,P,W,D,L,F,A,GD,Pts
1,Burnley,46,26,15,5,72,35,+37,93
2,Middlesbrough,46,26,11,9,63,31,+32,89
3,Brighton,46,24,17,5,72,42,+30,89
4,Hull,46,24,11,11,69,35,+34,83
5,Derby,46,21,15,10,66,43,+23,78
6,Sheff Wed,46,19,17,10,66,45,+21,74
7,Ipswich,46,18,15,13,53,51,+2,69
8,Cardiff,46,17,17,12,56,51,+5,68
9,Brentford,46,19,8,19,72,67,+5,65
10,Birmingham,46,16,15,15,53,49,+4,63
11,Preston,46,15,17,14,45,45,+0,62
12,QPR,46,14,18,14,54,54,+0,60
13,Leeds,46,14,17,15,50,58,-8,59
14,Wolverhampton,46,14,16,16,53,58,-5,58
15,Blackburn,46,13,16,17,46,46,+0,55
16,Nott'm Forest,46,13,16,17,43,47,-4,55
17,Reading,46,13,13,20,52,59,-7,52
18,Bristol City,46,13,13,20,54,71,-17,52
19,Huddersfield,46,13,12,21,59,70,-11,51
20,Fulham,46,12,15,19,66,79,-13,51
21,Rotherham,46,13,10,23,53,71,-18,49
22,Charlton,46,9,13,24,40,80,-40,40
23,MK Dons,46,9,12,25,39,69,-30,39
24,Bolton,46,5,15,26,41,81,-40,30
