Pos,Team,P,W,D,L,F,A,GD,Pts
1,PSV Eindhoven,34,23,6,5,75,25,+50,75
2,Ajax,34,23,6,5,84,35,+49,75
3,AZ Alkmaar,34,21,9,4,83,31,+52,72
4,Twente,34,19,9,6,67,37,+30,66
5,SC Heerenveen,34,16,7,11,60,43,+17,55
6,Roda JC Kerkrade,34,15,9,10,47,36,+11,54
7,Feyenoord,34,15,8,11,56,66,-10,53
8,FC Groningen,34,15,6,13,54,54,+0,51
9,FC Utrecht,34,13,9,12,41,44,-3,48
10,N.E.C.,34,12,8,14,36,44,-8,44
11,NAC Breda,34,12,7,15,43,54,-11,43
12,Vitesse Arnhem,34,10,8,16,50,55,-5,38
13,Sparta Rotterdam,34,10,7,17,40,66,-26,37
14,Heracles Almelo,34,7,11,16,32,64,-32,32
15,Willem II,34,8,7,19,31,64,-33,31
16,Excelsior,34,8,6,20,43,65,-22,30
17,Waalwijk,34,6,9,19,33,60,-27,27
18,ADO Den Haag,34,3,8,23,40,72,-32,17
