Pos,Team,P,W,D,L,F,A,GD,Pts
1,Beşiktaş (C),34,21,8,5,60,30,30,71
2,Sivasspor,34,19,9,6,54,28,26,66
3,Trabzonspor,34,19,8,7,54,34,20,65
4,Fenerbahçe,34,18,7,9,60,36,24,61
5,Galatasaray,34,18,7,9,57,39,18,61
6,Bursaspor,34,16,10,8,47,36,11,58
7,Kayserispor,34,13,11,10,38,26,12,50
8,Gaziantepspor,34,12,11,11,46,48,−2,47
9,İstanbul B.B.,34,12,6,16,37,46,−9,42
10,Ankaraspor,34,11,8,15,36,42,−6,41
11,Eskişehirspor,34,10,10,14,45,49,−4,40
12,Antalyaspor,34,10,10,14,34,42,−8,40
13,MKE Ankaragücü,34,11,6,17,36,47,−11,39
14,Gençlerbirliği,34,10,8,16,38,50,−12,38
15,Denizlispor,34,11,5,18,39,52,−13,38
16,Konyaspor (R),34,10,8,16,35,46,−11,38
17,Kocaelispor (R),34,8,5,21,47,73,−26,29
18,Hacettepe Spor (R),34,5,7,22,24,63,−39,22
