Pos,Team,P,W,D,L,F,A,GD,Pts
1,Man Utd,38,0,0,0,0,0,+43,89
2,Man City,38,0,0,0,0,0,+32,78
3,Chelsea,38,0,0,0,0,0,+36,75
4,Arsenal,38,0,0,0,0,0,+35,73
5,Tottenham,38,0,0,0,0,0,+20,72
6,Everton,38,0,0,0,0,0,+15,63
7,Liverpool,38,0,0,0,0,0,+28,61
8,West Brom,38,0,0,0,0,0,-4,49
9,Swansea,38,0,0,0,0,0,-4,46
10,West Ham,38,0,0,0,0,0,-8,46
11,Norwich,38,0,0,0,0,0,-17,44
12,Fulham,38,0,0,0,0,0,-10,43
13,Stoke,38,0,0,0,0,0,-11,42
14,Southampton,38,0,0,0,0,0,-11,41
15,Aston Villa,38,0,0,0,0,0,-22,41
16,Newcastle,38,0,0,0,0,0,-23,41
17,Sunderland,38,0,0,0,0,0,-13,39
18,Wigan,38,0,0,0,47,73,-26,36
19,Reading,38,0,0,0,43,73,-30,28
20,QPR,38,1,1,0,3,2,-30,25
