Pos,Team,P,W,D,L,F,A,GD,Pts
1,Norwich,46,27,13,6,93,57,+36,94
2,Sheffield Utd,46,26,11,9,78,41,+37,89
3,Leeds,46,25,8,13,73,50,+23,83
4,West Brom,46,23,11,12,87,62,+25,80
5,Aston Villa,46,20,16,10,82,61,+21,76
6,Derby,46,20,14,12,69,54,+15,74
7,Middlesbrough,46,20,13,13,49,41,+8,73
8,Bristol City,46,19,13,14,59,53,+6,70
9,Nott'm Forest,46,17,15,14,61,54,+7,66
10,Swansea,46,18,11,17,65,62,+3,65
11,Brentford,46,17,13,16,73,59,+14,64
12,Sheff Wed,46,16,16,14,60,62,-2,64
13,Hull,46,17,11,18,66,68,-2,62
14,Preston,46,16,13,17,67,67,+0,61
15,Blackburn,46,16,12,18,64,69,-5,60
16,Stoke,46,11,22,13,45,52,-7,55
17,Birmingham,46,14,19,13,64,58,+6,52
18,Wigan,46,13,13,20,51,64,-13,52
19,QPR,46,14,9,23,53,71,-18,51
20,Reading,46,10,17,19,49,66,-17,47
21,Millwall,46,10,14,22,48,64,-16,44
22,Rotherham,46,8,16,22,52,83,-31,40
23,Bolton,46,8,8,30,29,78,-49,32
24,Ipswich,46,5,16,25,36,77,-41,31
