Pos,Team,P,W,D,L,F,A,GD,Pts
1,Leicester,46,31,9,6,83,43,+40,102
2,Burnley,46,26,15,5,72,37,+35,93
3,Derby,46,25,10,11,84,52,+32,85
4,QPR,46,23,11,12,60,44,+16,80
5,Wigan,46,21,10,15,61,48,+13,73
6,Brighton,46,19,15,12,55,40,+15,72
7,Reading,46,19,14,13,70,56,+14,71
8,Blackburn,46,18,16,12,70,62,+8,70
9,Ipswich,46,18,14,14,60,54,+6,68
10,Bournemouth,46,18,12,16,67,66,+1,66
11,Nott'm Forest,46,16,17,13,67,64,+3,65
12,Middlesbrough,46,16,16,14,62,50,+12,64
13,Watford,46,15,15,16,74,64,+10,60
14,Bolton,46,14,17,15,59,60,-1,59
15,Leeds,46,16,9,21,59,67,-8,57
16,Sheff Wed,46,13,14,19,63,65,-2,53
17,Huddersfield,46,14,11,21,58,65,-7,53
18,Charlton,46,13,12,21,41,61,-20,51
19,Millwall,46,11,15,20,46,74,-28,48
20,Blackpool,46,11,13,22,38,66,-28,46
21,Birmingham,46,11,11,24,58,74,-16,44
22,Doncaster,46,11,11,24,39,70,-31,44
23,Barnsley,46,9,12,25,44,77,-33,39
24,Yeovil,46,8,13,25,44,75,-31,37
