Pos,Team,P,W,D,L,F,A,GD,Pts
1,Bournemouth,46,26,12,8,98,45,+53,90
2,Watford,46,27,8,11,91,50,+41,89
3,Norwich,46,25,11,10,88,48,+40,86
4,Middlesbrough,46,25,10,11,68,37,+31,85
5,Brentford,46,23,9,14,78,59,+19,78
6,Ipswich,46,22,12,12,72,54,+18,78
7,Wolverhampton,46,22,12,12,70,56,+14,78
8,Derby,46,21,14,11,85,56,+29,77
9,Blackburn,46,17,16,13,66,59,+7,67
10,Birmingham,46,16,15,15,54,64,-10,63
11,Cardiff,46,16,14,16,57,61,-4,62
12,Charlton,46,14,18,14,54,60,-6,60
13,Sheff Wed,46,14,18,14,43,49,-6,60
14,Nott'm Forest,46,15,14,17,71,69,+2,59
15,Leeds,46,15,11,20,50,61,-11,56
16,Huddersfield,46,13,16,17,58,75,-17,55
17,Fulham,46,14,10,22,62,83,-21,52
18,Bolton,46,13,12,21,54,67,-13,51
19,Reading,46,13,11,22,48,69,-21,50
20,Brighton,46,10,17,19,44,54,-10,47
21,Rotherham,46,11,16,19,46,67,-21,46
22,Millwall,46,9,14,23,42,76,-34,41
23,Wigan,46,9,12,25,39,64,-25,39
24,Blackpool,46,4,14,28,36,91,-55,26
